repository,notD_num_code_files,notD_total_lines_of_code,notD_num_modules,notD_pretrained_models,notD_shell_scripts,notD_lists_in_readme,notD_code_blocks_in_readme,notD_inline_code_in_readme,notD_images_in_readme,notD_github_links_in_readme,notD_has_license,notD_diversity,notD_total_contributors,notD_Num_Star,notD_Num_Fork,notD_Num_Watcher,Date_Created,Date_Last_Mod,notD_Num_Issue,notD_Num_Issue_Type,notD_Num_Issue_Open,notD_Num_Issue_Closed,notD_Num_PR_Open,notD_Num_PR_Closed,language,,repository,D_num_code_files,D_total_lines_of_code,D_num_modules,D_pretrained_models,D_shell_scripts,D_lists_in_readme,D_code_blocks_in_readme,D_inline_code_in_readme,D_images_in_readme,D_github_links_in_readme,D_has_license,D_diversity,D_total_contributors,D_Num_Star,D_Num_Fork,D_Num_Watcher,Date_Created,Date_Last_Mod,D_Num_Issue,D_Num_Issue_Type,D_Num_Issue_Open,D_Num_Issue_Closed,D_Num_PR_Open,D_Num_PR_Closed,D_language
wang-chen/lgl-action-recognition,14,743,2,0,1,0,0,0,0,1,Yes,not-diverse,2,10,0,2,2021-01-21 05:26:04+00:00,2024-09-17 15:26:24+00:00,0,9,0,0,0,0,Python,,gchrupala/visually-grounded-speech,23,2369,4,0,0,5,1,5,0,1,Yes,diverse,3,23,2,7,2017-04-06 11:36:41+00:00,2024-01-04 16:12:58+00:00,0,7,0,0,0,0,Python
devnkong/FLAG,93,12543,2,0,0,7,1,0,0,2,Yes,not-diverse,2,141,18,3,2020-10-19 19:59:21+00:00,2024-11-06 09:55:02+00:00,11,9,6,5,0,1,Python,,ruotianluo/DiscCaptioning,26,4973,4,0,4,0,5,11,0,3,No,diverse,4,110,21,6,2018-06-07 15:42:12+00:00,2024-01-04 16:23:42+00:00,21,8,7,14,0,1,Python
kreshuklab/spoco,18,3904,2,0,0,25,13,33,1,1,No,not-diverse,2,32,7,7,2021-03-26 14:24:14+00:00,2024-04-08 06:52:58+00:00,8,9,1,7,1,10,Python,,microsoft/SGN,8,1646,3,0,0,6,4,0,1,3,Yes,diverse,4,191,55,10,2020-04-14 06:42:04+00:00,2025-01-08 05:56:48+00:00,29,9,25,4,0,0,Python
lmb-freiburg/understanding_flow_robustness,85,19975,7,0,0,4,28,9,0,10,Yes,not-diverse,2,9,3,5,2022-03-10 13:22:11+00:00,2023-10-18 07:01:09+00:00,1,9,0,1,0,0,Python,,microsoft/Relation-Aware-Global-Attention-Networks,26,2224,3,0,0,1,2,13,1,2,Yes,diverse,4,346,66,8,2019-07-04 01:30:44+00:00,2025-01-13 02:28:55+00:00,29,9,24,5,3,1,Python
benathi/fastswa-semi-sup,30,2954,4,0,1,0,8,0,0,1,No,not-diverse,2,185,31,11,2018-05-20 00:19:15+00:00,2024-04-10 07:22:19+00:00,8,8,5,3,0,0,Shell,,alan-turing-institute/bocpdms,29,18441,4,0,0,15,8,16,3,3,Yes,diverse,4,32,12,8,2018-07-16 08:38:58+00:00,2024-10-03 15:28:44+00:00,13,8,9,4,1,8,Python
csinva/hierarchical-dnn-interpretations,37,9859,6,0,0,14,1,6,4,4,Yes,not-diverse,2,128,22,9,2018-05-18 12:54:43+00:00,2024-12-25 09:35:49+00:00,9,8,2,7,0,0,Jupyter Notebook,,NVIDIA/partialconv,7,1398,2,0,0,14,10,5,0,6,Yes,diverse,4,1240,213,34,2018-11-05 03:02:27+00:00,2025-01-12 12:46:22+00:00,38,8,26,12,2,4,Python
facebookresearch/spreadingvectors,15,2184,2,0,2,4,10,4,0,2,Yes,not-diverse,2,319,37,15,2019-01-28 12:57:41+00:00,2024-12-18 09:50:30+00:00,5,10,1,4,0,0,Python,,lil-lab/nlvr,8,1432,2,0,0,0,0,0,0,2,No,diverse,4,259,58,8,2017-05-08 13:53:26+00:00,2025-01-09 02:53:34+00:00,9,7,0,9,0,1,HTML
Gordonjo/versa,13,1919,2,0,0,12,0,3,0,0,Yes,not-diverse,2,69,13,7,2018-06-14 12:00:34+00:00,2024-11-17 22:16:49+00:00,3,8,0,3,0,0,Python,,microsoft/molecule-generation,84,18320,2,0,0,17,16,58,5,5,Yes,diverse,5,282,42,12,2022-02-17 19:16:29+00:00,2025-01-06 14:20:51+00:00,40,9,9,31,0,37,Python
swing-research/deepmesh,16,2094,3,0,1,8,17,9,0,0,No,not-diverse,2,24,4,8,2018-05-24 19:43:47+00:00,2024-01-07 13:16:04+00:00,0,8,0,0,0,0,Python,,yangyanli/PointCNN,62,7972,6,0,0,22,13,0,0,6,Yes,diverse,5,1387,366,56,2017-08-22 22:45:32+00:00,2025-01-03 21:46:24+00:00,225,8,59,166,0,28,Python
emtiyaz/vmp-for-svae,23,4536,6,0,0,3,3,9,2,5,No,not-diverse,2,44,16,5,2018-02-21 14:45:54+00:00,2024-10-29 03:42:13+00:00,8,8,3,5,0,0,Python,,LPMP/LPMP,356,35166,9,0,0,22,2,22,1,7,No,diverse,6,64,22,7,2018-08-17 07:03:15+00:00,2024-12-25 12:31:01+00:00,16,8,8,8,1,22,C++
